2020.10.18 22:31:07 INFO  web[][DbMigrations] #3106 'Delete 'sonar.pullrequest.provider' property': success | time=3ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3107 'Migrate default branches to keep global setting'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3107 'Migrate default branches to keep global setting': success | time=6ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3108 'Add EXCLUDE_FROM_PURGE column'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3108 'Add EXCLUDE_FROM_PURGE column': success | time=4ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3109 'Populate EXCLUDE_FROM_PURGE column'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3109 'Populate EXCLUDE_FROM_PURGE column': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3110 'Remove 'sonar.branch.longLivedBranches.regex''...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3110 'Remove 'sonar.branch.longLivedBranches.regex'': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3111 'Rename 'sonar.dbcleaner.daysBeforeDeletingInactiveShortLivingBranches' setting'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3111 'Rename 'sonar.dbcleaner.daysBeforeDeletingInactiveShortLivingBranches' setting': success | time=1ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3112 'Migrate short and long living branches types to common BRANCH type'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3112 'Migrate short and long living branches types to common BRANCH type': success | time=1ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3113 'Migrate short and long living branches types to common BRANCH type in ce tasks table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3113 'Migrate short and long living branches types to common BRANCH type in ce tasks table': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3200 'Drop 'In Review' Security Hotspots status '...
2020.10.18 22:31:07 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3200 'Drop 'In Review' Security Hotspots status ': success | time=6ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3201 'Migrate Manual Vulnerabilities to Security Hotspots '...
2020.10.18 22:31:07 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3201 'Migrate Manual Vulnerabilities to Security Hotspots ': success | time=4ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3202 'Remove 'newsbox.dismiss.hotspots' user property'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3202 'Remove 'newsbox.dismiss.hotspots' user property': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3203 'Ensure Security Hotspots have status TO_REVIEW'...
2020.10.18 22:31:07 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3203 'Ensure Security Hotspots have status TO_REVIEW': success | time=4ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3204 'Rename table 'PROJECTS' to 'COMPONENTS''...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3204 'Rename table 'PROJECTS' to 'COMPONENTS'': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3205 'Add PROJECTS table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3205 'Add PROJECTS table': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3206 'Populate PROJECTS table'...
2020.10.18 22:31:07 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 projects processed (0 items/sec)
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3206 'Populate PROJECTS table': success | time=4ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3207 'Drop 'TAGS' column from COMPONENTS table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3207 'Drop 'TAGS' column from COMPONENTS table': success | time=13ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3208 'Remove old Security Review Rating measures'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3208 'Remove old Security Review Rating measures': success | time=3ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3209 'Create ALM_PATS table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3209 'Create ALM_PATS table': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3210 'Add index on ALM_slug'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3210 'Add index on ALM_slug': success | time=3ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3211 'Delete conditions using 'security_hotspots' and 'new_security_hotspots' metrics'...
2020.10.18 22:31:07 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3211 'Delete conditions using 'security_hotspots' and 'new_security_hotspots' metrics': success | time=5ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3300 'Add 'summary_comment_enabled' boolean column to 'project_alm_settings''...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3300 'Add 'summary_comment_enabled' boolean column to 'project_alm_settings'': success | time=3ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3301 'Enable 'summary_comment_enabled' for GitHub based projects'...
2020.10.18 22:31:07 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3301 'Enable 'summary_comment_enabled' for GitHub based projects': success | time=3ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3302 'Add 'component_uuid' column to 'properties''...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3302 'Add 'component_uuid' column to 'properties'': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3303 'Migrate 'resource_id' to 'component_uuid' in 'properties''...
2020.10.18 22:31:07 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3303 'Migrate 'resource_id' to 'component_uuid' in 'properties'': success | time=3ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3304 'Remove column 'resource_id' in 'properties''...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3304 'Remove column 'resource_id' in 'properties'': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3305 'Add 'component_uuid' column to 'group_roles''...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3305 'Add 'component_uuid' column to 'group_roles'': success | time=5ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3306 'Migrate 'resource_id' to 'component_uuid' in 'group_roles''...
2020.10.18 22:31:07 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3306 'Migrate 'resource_id' to 'component_uuid' in 'group_roles'': success | time=4ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3307 'Remove column 'resource_id' in 'group_roles''...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3307 'Remove column 'resource_id' in 'group_roles'': success | time=7ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3308 'Add 'component_uuid' column to 'user_roles''...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3308 'Add 'component_uuid' column to 'user_roles'': success | time=3ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3309 'Migrate 'resource_id' to 'component_uuid' in 'user_roles''...
2020.10.18 22:31:07 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3309 'Migrate 'resource_id' to 'component_uuid' in 'user_roles'': success | time=4ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3310 'Remove column 'resource_id' in 'user_roles''...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3310 'Remove column 'resource_id' in 'user_roles'': success | time=3ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3311 'Remove column 'id' in 'components''...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3311 'Remove column 'id' in 'components'': success | time=7ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3400 'Drop primary key on 'ID' column of 'EVENTS' table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3400 'Drop primary key on 'ID' column of 'EVENTS' table': success | time=3ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3401 'Add primary key on 'UUID' column of 'EVENTS' table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3401 'Add primary key on 'UUID' column of 'EVENTS' table': success | time=3ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3402 'Drop column 'ID' of 'EVENTS' table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3402 'Drop column 'ID' of 'EVENTS' table': success | time=4ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3403 'Add 'uuid' and 'createdAt' columns for notifications'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3403 'Add 'uuid' and 'createdAt' columns for notifications': success | time=3ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3404 'Populate 'uuid' and 'createdAt columns for notifications'...
2020.10.18 22:31:07 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3404 'Populate 'uuid' and 'createdAt columns for notifications': success | time=5ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3405 'Make 'uuid' and 'createdAt' column not nullable for notifications'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3405 'Make 'uuid' and 'createdAt' column not nullable for notifications': success | time=4ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3406 'Drop primary key on 'ID' column of 'NOTIFICATIONS' table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3406 'Drop primary key on 'ID' column of 'NOTIFICATIONS' table': success | time=4ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3407 'Add primary key on 'UUID' column of 'NOTIFICATIONS' table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3407 'Add primary key on 'UUID' column of 'NOTIFICATIONS' table': success | time=1ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3408 'Drop column 'ID' of 'NOTIFICATIONS' table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3408 'Drop column 'ID' of 'NOTIFICATIONS' table': success | time=1ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3409 'Drop primary key on 'ID' column of 'SNAPSHOTS' table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3409 'Drop primary key on 'ID' column of 'SNAPSHOTS' table': success | time=3ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3410 'Add primary key on 'UUID' column of 'SNAPSHOTS' table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3410 'Add primary key on 'UUID' column of 'SNAPSHOTS' table': success | time=1ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3411 'Drop column 'ID' of 'SNAPSHOTS' table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3411 'Drop column 'ID' of 'SNAPSHOTS' table': success | time=1ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3412 'Drop unique index on 'uuid' column of 'CE_QUEUE' table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3412 'Drop unique index on 'uuid' column of 'CE_QUEUE' table': success | time=5ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3413 'Drop primary key on 'ID' column of 'CE_QUEUE' table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3413 'Drop primary key on 'ID' column of 'CE_QUEUE' table': success | time=4ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3414 'Add primary key on 'UUID' column of 'CE_QUEUE' table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3414 'Add primary key on 'UUID' column of 'CE_QUEUE' table': success | time=1ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3415 'Drop column 'ID' of 'CE_QUEUE' table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3415 'Drop column 'ID' of 'CE_QUEUE' table': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3416 'Drop primary key on 'ID' column of 'CE_ACTIVITY' table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3416 'Drop primary key on 'ID' column of 'CE_ACTIVITY' table': success | time=3ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3417 'Add primary key on 'UUID' column of 'CE_ACTIVITY' table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3417 'Add primary key on 'UUID' column of 'CE_ACTIVITY' table': success | time=1ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3418 'Drop column 'ID' of 'CE_ACTIVITY' table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3418 'Drop column 'ID' of 'CE_ACTIVITY' table': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3419 'Add 'uuid' columns for DUPLICATIONS_INDEX'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3419 'Add 'uuid' columns for DUPLICATIONS_INDEX': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3420 'Populate 'uuid' columns for DUPLICATIONS_INDEX'...
2020.10.18 22:31:07 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3420 'Populate 'uuid' columns for DUPLICATIONS_INDEX': success | time=4ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3421 'Make 'uuid' column not nullable for DUPLICATIONS_INDEX'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3421 'Make 'uuid' column not nullable for DUPLICATIONS_INDEX': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3422 'Drop primary key on 'ID' column of 'DUPLICATIONS_INDEX' table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3422 'Drop primary key on 'ID' column of 'DUPLICATIONS_INDEX' table': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3423 'Add primary key on 'UUID' column of 'DUPLICATIONS_INDEX' table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3423 'Add primary key on 'UUID' column of 'DUPLICATIONS_INDEX' table': success | time=1ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3424 'Drop column 'ID' of 'DUPLICATIONS_INDEX' table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3424 'Drop column 'ID' of 'DUPLICATIONS_INDEX' table': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3425 'Add 'uuid' column for 'ACTIVE_RULE_PARAMS' table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3425 'Add 'uuid' column for 'ACTIVE_RULE_PARAMS' table': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3426 'Populate 'uuid' column for 'ACTIVE_RULE_PARAMS' table'...
2020.10.18 22:31:07 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3426 'Populate 'uuid' column for 'ACTIVE_RULE_PARAMS' table': success | time=4ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3427 'Make 'uuid' column not nullable for 'ACTIVE_RULE_PARAMS' table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3427 'Make 'uuid' column not nullable for 'ACTIVE_RULE_PARAMS' table': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3428 'Drop primary key on 'ID' column of 'ACTIVE_RULE_PARAMS' table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3428 'Drop primary key on 'ID' column of 'ACTIVE_RULE_PARAMS' table': success | time=3ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3429 'Add primary key on 'UUID' column of 'ACTIVE_RULE_PARAMS' table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3429 'Add primary key on 'UUID' column of 'ACTIVE_RULE_PARAMS' table': success | time=1ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3430 'Drop column 'ID' of 'ACTIVE_RULE_PARAMS' table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3430 'Drop column 'ID' of 'ACTIVE_RULE_PARAMS' table': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3431 'Add 'uuid' columns for 'PROJECT_MEASURES''...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3431 'Add 'uuid' columns for 'PROJECT_MEASURES'': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3432 'Add tech index on 'group_uuid' column of 'PROJECT_MEASURES' table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3432 'Add tech index on 'group_uuid' column of 'PROJECT_MEASURES' table': success | time=5ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3433 'Populate 'uuid' column for 'PROJECT_MEASURES''...
2020.10.18 22:31:07 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3433 'Populate 'uuid' column for 'PROJECT_MEASURES'': success | time=4ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3434 'Drop tech index on 'group_id' column of 'PROJECT_MEASURES' table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3434 'Drop tech index on 'group_id' column of 'PROJECT_MEASURES' table': success | time=3ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3435 'Make 'uuid' column not nullable for 'PROJECT_MEASURES''...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3435 'Make 'uuid' column not nullable for 'PROJECT_MEASURES'': success | time=3ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3436 'Drop primary key on 'ID' column of 'PROJECT_MEASURES' table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3436 'Drop primary key on 'ID' column of 'PROJECT_MEASURES' table': success | time=4ms
